1,5,12,21,23,25,36,39,42,53,56,57,97,104,113,120,128
1,5,12,22,23,26,36,39,42,44,56,57,97,104,108,120,128
1,5,9,21,23,25,36,39,42,53,56,57,97,104,113,120,128
1,5,9,22,23,26,36,39,42,44,56,57,97,104,108,120,128
1,6,12,21,23,25,36,39,42,53,56,57,97,104,113,120,128
1,6,12,22,23,26,36,39,42,44,56,57,97,104,108,120,128
1,6,9,21,23,25,36,39,42,53,56,57,97,104,113,120,128
1,6,9,22,23,26,36,39,42,44,56,57,97,104,113,120,128
1,6,9,22,23,26,36,39,42,44,56,57,97,104,108,120,128
1,3,12,21,23,25,36,38,41,53,55,58,97,104,107,119,124
1,3,12,21,23,25,36,38,41,53,55,58,97,104,107,119,122
